[0.025s] Invoking command in '/home/enetcom/mecanum-ros2/build/mechanum_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/enetcom/mecanum-ros2/src/mechanum_description -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/enetcom/mecanum-ros2/install/mechanum_description
[0.081s] -- Found ament_cmake: 1.3.14 (/opt/ros/humble/share/ament_cmake/cmake)
[0.316s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.336s] -- Found ament_lint_auto: 0.12.14 (/opt/ros/humble/share/ament_lint_auto/cmake)
[0.460s] -- Added test 'flake8' to check Python code syntax and style conventions
[0.460s] -- Added test 'lint_cmake' to check CMake code style
[0.460s] -- Added test 'pep257' to check Python code against some of the docstring style conventions in PEP 257
[0.468s] -- Added test 'xmllint' to check XML markup files
[0.472s] -- Configuring done
[0.483s] -- Generating done
[0.486s] -- Build files have been written to: /home/enetcom/mecanum-ros2/build/mechanum_description
[0.491s] Invoked command in '/home/enetcom/mecanum-ros2/build/mechanum_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/enetcom/mecanum-ros2/src/mechanum_description -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/enetcom/mecanum-ros2/install/mechanum_description
[0.495s] Invoking command in '/home/enetcom/mecanum-ros2/build/mechanum_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/enetcom/mecanum-ros2/build/mechanum_description -- -j4 -l4
[0.582s] Invoked command in '/home/enetcom/mecanum-ros2/build/mechanum_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/enetcom/mecanum-ros2/build/mechanum_description -- -j4 -l4
[0.601s] Invoking command in '/home/enetcom/mecanum-ros2/build/mechanum_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/enetcom/mecanum-ros2/build/mechanum_description
[0.624s] -- Install configuration: ""
[0.624s] -- Execute custom install script
[0.626s] -- Up-to-date symlink: /home/enetcom/mecanum-ros2/install/mechanum_description/share/mechanum_description/meshes/azure_kinect.dae
[0.626s] -- Up-to-date symlink: /home/enetcom/mecanum-ros2/install/mechanum_description/share/mechanum_description/meshes/chain_link1.stl
[0.626s] -- Up-to-date symlink: /home/enetcom/mecanum-ros2/install/mechanum_description/share/mechanum_description/meshes/chain_link2.stl
[0.627s] -- Up-to-date symlink: /home/enetcom/mecanum-ros2/install/mechanum_description/share/mechanum_description/meshes/chain_link3.stl
[0.628s] -- Up-to-date symlink: /home/enetcom/mecanum-ros2/install/mechanum_description/share/mechanum_description/meshes/chain_link4.stl
[0.634s] -- Up-to-date symlink: /home/enetcom/mecanum-ros2/install/mechanum_description/share/mechanum_description/meshes/chain_link5.stl
[0.636s] -- Up-to-date symlink: /home/enetcom/mecanum-ros2/install/mechanum_description/share/mechanum_description/meshes/chain_link_grip_l.stl
[0.636s] -- Up-to-date symlink: /home/enetcom/mecanum-ros2/install/mechanum_description/share/mechanum_description/meshes/chain_link_grip_r.stl
[0.637s] -- Up-to-date symlink: /home/enetcom/mecanum-ros2/install/mechanum_description/share/mechanum_description/meshes/intel_realsense/visual/d435.stl
[0.638s] -- Up-to-date symlink: /home/enetcom/mecanum-ros2/install/mechanum_description/share/mechanum_description/meshes/mecanum_a.dae
[0.640s] -- Up-to-date symlink: /home/enetcom/mecanum-ros2/install/mechanum_description/share/mechanum_description/meshes/mecanum_b.dae
[0.641s] -- Up-to-date symlink: /home/enetcom/mecanum-ros2/install/mechanum_description/share/mechanum_description/meshes/rosmaster_x3/visual/back_left_wheel_X3.STL
[0.641s] -- Up-to-date symlink: /home/enetcom/mecanum-ros2/install/mechanum_description/share/mechanum_description/meshes/rosmaster_x3/visual/back_right_wheel_X3.STL
[0.642s] -- Up-to-date symlink: /home/enetcom/mecanum-ros2/install/mechanum_description/share/mechanum_description/meshes/rosmaster_x3/visual/base_link_X3.STL
